#{"t_start": 1652188045.377205, "env_id": null}
r,l,t
0.786178,4,7.082891
0.806768,4,7.114133
-0.798545,3,7.145376
-0.987665,2,7.160997
-0.391569,3,7.19224
1.705457,4,7.223483
-0.297588,3,7.239105
-1.120338,2,7.254725
0.440677,4,7.285968
-1.009042,2,7.301589
1.150904,4,7.348453
0.646238,4,7.379696
2.027788,4,7.410939
2.008765,4,7.459651
0.347903,4,7.493253
-0.620464,2,7.508874
0.317039,4,7.540117
-1.139287,3,7.555738
0.119168,4,7.602602
-0.929465,4,7.649466
-0.403101,2,7.649466
-0.975544,3,7.680709
-0.723757,2,7.696331
2.102879,4,7.743194
-0.146656,3,7.758815
-0.122873,3,7.790058
-0.77465,2,7.80568
1.238179,4,7.836922
1.301646,4,7.883787
0.152779,3,7.899408
-0.282592,3,7.930651
-0.741774,2,7.946272
-0.993918,2,7.961893
-0.273964,2,7.977514
-0.790264,2,7.993135
-0.474848,3,8.024378
-0.450471,3,8.053118
-0.415307,2,8.068115
1.627661,4,8.091073
0.528187,4,8.137937
1.096783,4,8.169179
-1.009855,2,8.184802
0.261097,4,8.216044
-0.839987,2,8.231665
-0.33586,4,8.278529
-0.724326,2,8.29415
0.300018,4,8.325393
0.28388,4,8.356636
-0.486835,3,8.372257
-0.912424,3,8.403499
0.118436,4,8.450363
-0.676854,3,8.481606
2.097406,4,8.512849
-0.024048,3,8.52847
-0.272935,3,8.559713
-0.577699,3,8.590955
-0.662598,3,8.606577
-0.876839,2,8.622199
0.839685,4,8.67252
-1.113004,3,8.704477
-0.145747,4,8.735719
2.185446,4,8.766962
0.128953,4,8.798204
-0.167796,4,8.829448
-0.170472,3,8.86069
-0.069156,4,8.907554
0.418988,4,8.938797
1.144864,4,8.98566
1.789035,4,9.032779
-0.944457,2,9.045802
0.23643,4,9.092667
-0.217845,2,9.108289
-0.029535,3,9.123909
0.411647,3,9.155151
-0.798751,3,9.186394
-0.183732,3,9.217637
-0.408673,3,9.233258
0.801949,4,9.273634
-0.177937,3,9.298622
-0.120652,4,9.33122
-0.32196,4,9.362463
-0.442882,3,9.393706
-0.154207,2,9.409327
-0.545145,4,9.440569
-0.502715,2,9.456192
