#{"t_start": 1640326699.8127866, "env_id": null}
r,l,t
-2.527506,23,0.173425
0.706437,26,0.204669
-2.032371,20,0.235912
-0.03473,20,0.251533
-0.158457,23,0.282775
1.826255,23,0.314018
-0.712435,21,0.329639
-0.02477,24,0.360882
-2.959791,21,0.392124
-1.661722,21,0.407745
0.191919,29,0.454609
-3.979648,25,0.485852
-1.370203,22,0.501474
-0.315265,20,0.532716
0.202971,26,0.563959
-0.095305,20,0.579581
-2.805776,21,0.610822
-0.335536,32,0.642066
-0.185457,25,0.673308
-1.369054,23,0.711004
-2.004903,30,0.746012
-0.859848,23,0.76468
-0.072186,24,0.795923
-2.121582,20,0.811544
0.561864,23,0.842786
-3.015065,25,0.874029
-0.139287,21,0.905272
-0.048838,28,0.936515
-1.616802,24,0.967757
-0.284547,23,0.983378
-1.492819,29,1.014621
-0.033997,25,1.045864
-3.077372,21,1.077106
1.037766,25,1.108349
-3.173643,25,1.139591
-0.490691,20,1.155212
-1.790732,20,1.186455
-0.447925,25,1.217698
0.221563,26,1.24894
-2.061341,29,1.280183
-1.152402,22,1.295804
-1.304978,24,1.337158
0.995471,22,1.356025
0.314994,25,1.387267
-1.06722,25,1.418509
-1.071635,25,1.449752
-2.079962,22,1.465373
-3.536301,27,1.496616
-1.797011,24,1.527859
-0.063918,21,1.54348
-2.46443,24,1.574723
-0.076963,27,1.605965
-1.399711,21,1.637208
-1.417274,27,1.66845
-0.104912,20,1.684072
-3.177559,25,1.715314
-1.275093,23,1.746557
-0.942943,24,1.7778
-3.300777,23,1.793421
-2.880335,22,1.824664
0.198053,23,1.855906
-0.152612,24,1.871527
0.109147,28,1.918854
-3.0024,19,1.941826
0.559768,26,1.962824
0.232482,25,1.994068
-2.320451,24,2.02531
-2.123866,29,2.056552
-1.564202,30,2.087795
-3.923478,23,2.119038
-0.088286,21,2.15028
-0.201645,27,2.181523
-0.118366,22,2.197144
-2.067751,26,2.228386
-0.9503,23,2.259629
-3.623191,26,2.290871
-1.182795,23,2.322114
-4.164971,29,2.353357
-2.95055,22,2.3846
-2.757082,24,2.400221
0.081738,27,2.431464
1.042261,23,2.462706
-1.278273,30,2.493949
-0.186944,24,2.535001
-1.204424,24,2.556017
1.161302,25,2.58726
-2.164615,22,2.618503
0.749989,25,2.634124
0.525327,24,2.665367
-2.579831,25,2.696609
0.120331,21,2.727852
-2.980203,21,2.743474
1.841666,25,2.774716
-2.596852,28,2.805959
0.116582,26,2.837201
-2.933065,27,2.868444
-1.549562,21,2.899686
0.861749,20,2.915308
0.207443,22,2.94655
-3.560498,26,2.977793
0.719377,21,2.993414
-2.663714,21,3.024657
-1.877946,23,3.0559
0.03568,21,3.071521
-1.811705,24,3.102763
-3.513602,20,3.118385
-1.668491,21,3.156414
-0.681885,22,3.178406
-3.603291,21,3.194028
