#{"t_start": 1640326699.8596509, "env_id": null}
r,l,t
-0.064867,26,0.126561
-1.145389,23,0.157804
0.094339,19,0.189048
-2.613257,21,0.204668
-1.917258,24,0.235911
-0.228414,21,0.267153
-2.09583,31,0.298396
-0.332101,24,0.329639
0.616263,25,0.360881
-0.21754,22,0.376503
0.159678,25,0.407745
0.328828,21,0.438988
-2.978446,20,0.47023
-2.676328,24,0.485852
0.510904,24,0.517094
-0.408077,24,0.548337
0.073793,27,0.579579
-0.881924,23,0.610822
-0.145696,22,0.642065
-4.17082,23,0.668129
-0.037741,25,0.698151
-0.306706,21,0.717815
-2.506897,26,0.749058
-0.103332,23,0.780301
0.910806,24,0.795922
0.162269,27,0.827164
-2.008748,26,0.858408
0.770366,23,0.889651
-3.159179,28,0.920893
-3.161107,28,0.952135
-0.617144,24,0.983378
-1.087081,26,1.01462
-2.350372,26,1.045863
-0.632264,26,1.077106
-2.364719,25,1.108348
-1.334781,31,1.139591
-0.281167,27,1.170834
-0.166614,21,1.202076
-1.765066,25,1.233319
0.107759,23,1.24894
-2.101741,30,1.293539
0.898381,23,1.324781
-2.185236,25,1.340403
-0.12273,22,1.371645
1.029129,24,1.402888
-0.735446,23,1.43413
-1.385041,23,1.449752
-3.256727,24,1.480994
-0.812123,26,1.512237
-1.462439,20,1.527858
1.034737,24,1.559101
-0.579945,19,1.590344
-0.781476,20,1.605965
-4.132081,21,1.637207
-0.089628,19,1.652829
-0.043178,24,1.684071
-0.900639,23,1.715314
-1.861528,26,1.730936
-2.46609,33,1.777799
0.253223,21,1.79342
-0.276514,24,1.824663
1.010005,22,1.855906
0.105321,30,1.896957
-0.089611,23,1.91596
0.978066,22,1.947203
0.229664,24,1.962824
-0.071462,25,1.994067
-1.835182,23,2.025309
1.01652,29,2.072173
-0.775971,24,2.087795
0.108972,20,2.119037
-1.15463,24,2.15028
-3.133687,24,2.165901
1.771234,19,2.197144
-0.777243,22,2.212765
-2.374778,22,2.244007
-2.718918,23,2.27525
-2.132675,23,2.306493
-1.596704,24,2.322114
-0.494028,28,2.353357
-0.35434,22,2.384599
0.18584,29,2.415842
0.480028,22,2.447084
-0.000598,20,2.462706
-0.98984,25,2.505091
-4.192481,20,2.524775
-3.882693,24,2.556018
-0.225512,22,2.571639
-2.144717,23,2.602881
0.193772,23,2.634124
0.113866,21,2.649745
-0.234997,25,2.680987
-3.538771,20,2.71223
0.620652,20,2.727851
-3.178963,22,2.759094
0.782035,22,2.774715
-0.109003,22,2.805958
-0.481603,25,2.837201
-1.317779,24,2.868443
-1.375963,21,2.884065
-3.089384,25,2.915307
-3.356781,25,2.94655
0.156151,22,2.977793
-3.038496,26,3.009035
0.363908,26,3.040278
0.681745,20,3.055899
-0.072937,25,3.092595
0.825147,24,3.12052
-1.094069,25,3.147163
-0.751784,26,3.178406
1.346982,24,3.194027
-1.254965,25,3.22527
-3.550185,32,3.272134
0.690268,18,3.287755
-2.717073,26,3.318998
-1.162145,29,3.350241
-2.141268,22,3.381483
-3.0696,23,3.397104
-0.690386,20,3.428347
-0.025791,22,3.45959
0.399835,26,3.475211
-0.183779,22,3.506453
1.728605,23,3.537696
-1.03049,21,3.553317
-0.042899,23,3.58456
0.008995,19,3.615803
-0.889228,30,3.647045
-2.572849,22,3.662667
0.239154,24,3.704361
-0.636038,24,3.73269
-2.650841,22,3.754343
0.887719,21,3.769964
1.551382,26,3.801207
-0.011303,26,3.832449
-3.225843,28,3.863692
-2.298211,21,3.894935
-1.165411,28,3.926177
-2.004101,22,3.941798
-1.085452,23,3.973041
1.358969,24,4.004283
-0.196787,24,4.035526
-2.529305,21,4.06677
-0.764139,28,4.098012
-1.185385,19,4.113633
-1.82536,19,4.144876
0.603794,25,4.176118
-0.220767,25,4.207361
-0.851594,21,4.222982
-1.49989,24,4.254224
-0.186111,19,4.269845
-1.446013,24,4.311513
-0.706057,21,4.335848
-0.979133,21,4.361515
-2.36638,25,4.377135
-3.20312,22,4.408378
0.090268,26,4.43962
-0.85393,27,4.470863
0.752992,25,4.502106
-2.028474,26,4.533348
-1.801642,25,4.56459
0.763168,21,4.595834
1.607799,27,4.627076
-2.305544,21,4.642697
0.494601,24,4.67394
-2.229779,26,4.705182
-4.15157,24,4.736425
-2.367058,23,4.752046
-0.248453,23,4.783289
0.279202,23,4.814532
-2.073012,23,4.830153
-3.456242,26,4.861395
-0.959543,25,4.892638
-3.925807,24,5.669921
1.459864,24,5.701163
0.152498,21,5.716784
-0.008595,25,5.748027
-1.559729,25,5.779269
-0.167442,23,5.810512
-2.072001,24,5.841755
-0.484462,23,5.857377
0.302228,24,5.888619
0.216883,19,5.904241
-1.596731,23,5.935483
0.12919,21,5.966725
-0.439789,25,5.997967
0.033165,24,6.013589
-0.479608,20,6.044832
-1.802663,23,6.076074
-1.520682,21,6.107317
-0.403154,29,6.14349
-0.336851,27,6.167541
-1.057519,34,6.198784
-2.558006,23,6.230026
-1.687232,25,6.261269
-1.808447,25,6.292512
0.338445,26,6.323755
1.016734,28,6.354997
-0.157634,26,6.38624
0.057759,34,6.417482
-0.71386,24,6.448725
-0.154082,24,6.479968
0.028098,29,6.51121
-3.005043,26,6.542453
-2.367019,23,6.573695
-1.605665,27,6.604939
-2.471109,28,6.636181
-1.630848,25,6.667423
-2.266097,19,6.683044
-0.069728,24,6.714287
-1.997484,23,6.807507
-2.116543,29,6.838749
0.281559,24,6.869991
-3.24743,33,6.901234
