#{"t_start": 1640326699.9109643, "env_id": null}
r,l,t
-0.238834,22,0.075248
-0.746534,21,0.106491
-0.488051,23,0.122112
-1.321119,18,0.153355
-1.750658,24,0.184597
-3.623927,23,0.200219
1.696999,24,0.231461
0.057289,26,0.262704
-0.495106,30,0.309568
1.300758,24,0.32519
-1.055151,23,0.356431
0.239856,25,0.387674
-0.07864,23,0.418917
-3.607596,23,0.45016
-4.196951,28,0.481403
0.093512,27,0.512645
-1.272453,22,0.528266
-3.888625,21,0.559509
-2.205064,24,0.590751
-0.680647,23,0.6228
-2.779963,27,0.650881
-2.330767,19,0.666502
-3.325682,29,0.697745
-0.081743,22,0.728987
-0.104162,23,0.76023
-0.170058,20,0.775851
-1.038293,24,0.807094
0.02983,23,0.838337
-0.101864,21,0.853958
-0.136597,32,0.900822
-2.128539,25,0.932065
0.231181,23,0.947686
-1.364153,23,0.978929
-1.012223,28,1.010171
-0.563947,21,1.041414
-1.382337,21,1.072656
1.292235,24,1.088278
-1.50108,30,1.135141
0.230165,27,1.166384
-0.28944,27,1.197627
-1.790714,29,1.233994
-2.318883,21,1.257847
-3.221568,22,1.273468
-0.375914,23,1.304711
0.039343,25,1.335953
0.468796,27,1.367196
-1.599632,22,1.382817
0.12509,25,1.41406
1.80584,26,1.445302
0.173452,20,1.476545
-2.203424,19,1.492168
1.646698,28,1.523409
-1.362141,19,1.554652
-1.606903,20,1.570273
-2.697561,25,1.601515
-1.082689,25,1.632758
0.730835,18,1.648379
-2.014538,22,1.679622
-2.171011,20,1.695244
-2.16658,22,1.726486
0.293299,24,1.757729
-0.214228,28,1.788971
-0.909232,24,1.804592
0.790836,25,1.847638
-2.215524,23,1.864646
-0.010553,20,1.89589
0.411214,21,1.91151
-0.598676,22,1.942753
-3.261991,26,1.973996
-0.56537,25,2.005239
-1.754437,28,2.036482
-3.790109,24,2.067724
-0.297429,27,2.098967
-0.777257,25,2.130209
-0.711833,26,2.161452
-2.304182,26,2.192694
0.04646,21,2.208315
-1.842907,23,2.239558
-0.746285,26,2.270801
-0.223127,24,2.302043
-0.995149,21,2.317665
-1.324228,26,2.348907
-0.530679,24,2.38015
-0.285657,27,2.411393
-0.351021,22,2.444802
-1.810649,25,2.473461
-0.172757,26,2.504705
-0.318738,22,2.520325
-0.68775,26,2.551568
-1.381925,27,2.582811
1.503803,21,2.614053
-1.065772,28,2.645296
-0.496967,23,2.660917
-0.20365,22,2.692159
1.390642,24,2.723402
-1.467538,21,2.754645
0.307966,24,2.770266
-0.270636,25,2.801509
-0.665163,27,2.832752
0.503664,22,2.863994
0.135705,22,2.895236
-0.392329,22,2.910858
-1.654523,19,2.9421
-1.011652,23,2.957722
0.83001,24,2.988965
-1.421623,22,3.020207
-3.354716,23,3.049261
-0.903123,29,3.080228
0.725686,19,3.09585
-0.311131,23,3.127093
0.759452,27,3.158335
-1.705874,19,3.173957
1.665251,19,3.205199
0.898676,22,3.220821
-2.977578,21,3.252063
-0.128325,22,3.267684
1.321542,22,3.298927
-1.268779,18,3.314548
-0.517628,23,3.345791
-0.311367,24,3.377034
0.556059,28,3.408277
-0.85624,22,3.439519
-0.117418,21,3.45514
-1.968275,29,3.486382
-0.55882,24,3.517626
-3.050729,24,3.548868
-2.212425,25,3.580111
-1.624377,29,3.611354
-0.250197,29,3.653048
1.562825,36,3.687407
-1.026806,25,3.71865
-2.154132,27,3.749893
1.125239,23,3.781136
0.101455,24,3.796757
0.573799,28,3.828
-2.644705,29,3.874864
-2.151587,21,3.890485
