#{"t_start": 1640326699.8908932, "env_id": null}
r,l,t
0.935163,22,0.095319
-0.081475,24,0.126562
-0.512289,20,0.142183
0.541893,20,0.173426
0.485324,25,0.204668
-3.423922,20,0.22029
0.635834,23,0.251532
0.114041,23,0.282775
-0.108627,24,0.314018
1.723659,23,0.329639
-0.046743,24,0.360882
-0.735274,22,0.392124
-3.314307,30,0.423368
1.620802,23,0.454609
-3.4978,24,0.485852
-0.034809,27,0.517094
0.647517,23,0.548337
-1.639827,26,0.57958
-1.532986,25,0.610822
-0.89933,28,0.645964
-0.197623,20,0.668903
0.975495,24,0.686573
-3.795304,20,0.717816
-2.686161,23,0.733437
-0.299737,25,0.76468
0.082923,19,0.795922
-1.702599,24,0.827165
-0.925897,23,0.842786
-0.74792,21,0.874029
-0.131206,24,0.905271
0.290093,24,0.936514
-0.176189,26,0.952136
-2.29844,22,0.983378
-2.057156,28,1.014621
-3.000388,20,1.045863
-2.443711,31,1.077106
-1.799425,21,1.108349
-2.759421,26,1.139592
-4.117828,23,1.155212
0.079594,26,1.186455
-0.799677,22,1.217698
-1.058016,22,1.251073
-0.238061,24,1.277918
0.125895,23,1.293539
-3.297024,26,1.324782
-2.041103,23,1.356024
0.485978,22,1.387267
0.454662,23,1.402888
-4.593572,26,1.434131
0.525423,25,1.465373
0.354576,22,1.496616
-0.003902,22,1.512239
-3.519474,22,1.54348
-2.07644,24,1.574723
-2.484591,23,1.590344
0.018923,23,1.621586
-1.070826,21,1.652829
-2.583761,19,1.66845
0.68003,26,1.699693
0.415908,20,1.730936
-2.128261,22,1.746557
-0.017719,25,1.7778
-0.334847,26,1.809042
-2.959701,31,1.851717
-1.88757,22,1.876685
-0.008185,27,1.900339
-3.852282,22,1.931581
-1.304491,20,1.947203
-2.029648,18,1.978446
-1.757269,25,1.994067
0.599647,22,2.02531
1.643009,19,2.056553
0.174543,27,2.087795
-0.359771,20,2.103416
0.930356,22,2.134659
0.502153,25,2.165901
-0.299721,20,2.181523
-2.226852,24,2.212765
-1.556665,23,2.244008
-1.052368,23,2.27525
-0.323395,20,2.290872
0.354264,18,2.306493
-1.97333,23,2.337736
1.351389,17,2.353357
-1.748426,25,2.384599
-1.275389,27,2.415842
0.211247,24,2.4549
-0.411578,23,2.477911
-0.136947,22,2.493532
0.825235,22,2.524776
0.51386,21,2.556017
-0.436703,27,2.58726
-2.749998,27,2.618502
-3.217523,19,2.634124
0.542691,24,2.665367
-2.412243,23,2.696609
0.427017,20,2.71223
-0.118886,21,2.743473
1.149793,23,2.759094
-0.736607,28,2.805959
-1.1604,22,2.82158
-4.366991,21,2.852823
-4.239428,25,2.884065
0.480058,25,2.915308
-2.645176,23,2.930929
0.455959,25,2.962171
-0.894683,23,2.993414
-0.534042,26,3.024657
-2.679794,21,3.040278
-1.293586,21,3.076313
-2.260603,27,3.100299
-2.014625,20,3.115921
-0.956416,25,3.147164
-1.05883,21,3.178406
-0.860442,21,3.194028
-3.578636,23,3.22527
-0.33272,22,3.256513
-0.335306,21,3.272134
-0.370918,23,3.303377
0.893001,22,3.334619
-0.414854,25,3.365862
-1.34814,24,3.381483
-0.822654,25,3.412726
-3.629461,22,3.443969
-0.933322,25,3.475211
0.032459,27,3.506454
-3.071757,25,3.537697
1.707663,20,3.553318
-0.137168,23,3.58456
1.679983,30,3.615803
1.633141,27,3.647045
1.024898,29,3.690073
0.290119,24,3.707478
-3.223321,19,3.738721
-2.155855,27,3.769964
-2.256777,24,3.785585
-0.355706,22,3.816828
-1.600429,24,3.848071
1.538704,22,3.863692
0.236683,27,3.894935
0.307387,21,3.926178
-2.019596,20,3.941798
-0.178769,23,3.973041
0.467446,22,4.004284
-0.327108,23,4.035527
0.151062,24,4.06677
1.87429,28,4.098011
-1.790042,29,4.129254
-0.635448,24,4.160497
0.651726,26,4.19174
-0.724151,26,4.222982
-0.767947,29,4.254225
-2.562095,26,4.291242
-0.773902,22,4.31465
-1.282656,25,4.345893
-0.133757,23,4.361514
-4.146594,24,4.392756
1.44924,27,4.423999
0.313103,23,4.455242
-3.439019,25,4.486484
0.135321,29,4.517727
-0.459596,22,4.548971
0.363495,21,4.564591
-2.8647,28,4.595834
-0.508161,21,4.627076
-1.364843,20,4.658319
-0.190671,24,4.67394
0.702744,23,4.705183
-1.110152,24,4.736425
-0.208788,22,4.752047
-0.528938,24,4.783289
0.638922,26,4.814532
0.873019,26,4.845774
0.697117,22,4.881465
-2.560153,25,5.654299
-1.973666,25,5.669921
-1.330882,26,5.701164
-0.277048,23,5.732406
-0.413391,24,5.763649
-0.349039,24,5.794891
-0.327699,28,5.826134
0.677549,23,5.841755
-1.936083,23,5.872998
-0.706626,22,5.90424
0.802644,24,5.935483
0.462993,22,5.951104
0.009292,21,5.982347
0.336532,21,5.997968
1.489375,25,6.044832
0.245725,24,6.060454
-3.030486,24,6.104231
-0.900888,25,6.133192
-3.414326,27,6.15192
1.618357,22,6.183162
-0.010043,24,6.214406
0.417872,20,6.230026
-0.254739,30,6.26127
0.59428,27,6.292512
-1.501606,25,6.323755
-3.371006,22,6.354997
-2.717453,23,6.38624
0.324172,25,6.417482
-2.064094,25,6.448725
0.154239,24,6.464346
-1.447475,29,6.495589
0.207215,23,6.526832
-1.603875,21,6.558074
-0.897863,22,6.573696
-0.031444,21,6.604938
-1.332144,25,6.636181
-2.854301,26,6.667423
-1.573966,22,6.745021
-0.847933,23,6.776264
-1.824934,27,6.807507
-4.024702,22,6.838749
1.147921,25,6.85437
-0.372633,31,6.901234
-0.212937,25,6.932477
-2.790967,23,6.948099
-0.066156,22,6.979341
-3.104769,25,7.010583
-1.121895,21,7.041826
-0.304256,24,7.057448
-2.331258,22,7.088691
-0.262282,27,7.119933
-0.556387,25,7.151175
-2.583575,27,7.182418
-1.432955,24,7.213661
0.042637,22,7.244904
-1.497758,23,7.260525
-1.536969,24,7.291767
-1.417644,21,7.323804
0.8529,27,7.351817
-0.132406,22,7.367439
-2.023342,29,7.414302
-2.60836,23,7.429924
-1.066661,23,7.461166
-1.314726,23,7.492409
1.337157,27,7.523652
1.18196,19,7.539273
-1.114161,22,7.570516
-0.130688,26,7.601758
-1.352448,25,7.633001
-0.682591,25,7.664243
-3.50533,22,7.679864
-0.145799,21,7.711107
-2.848941,30,7.74235
0.026353,23,7.773667
-0.90798,27,7.804836
-1.785347,30,7.836077
-3.10323,32,7.882941
-0.404514,23,7.898563
-0.031995,31,7.949607
0.908355,26,7.974258
0.575243,21,7.98988
-0.070661,23,8.021122
-0.009303,23,8.052366
-0.049663,26,8.083608
0.947956,24,8.11485
0.352961,23,8.146093
-0.543317,24,8.177336
-4.468841,26,8.208578
-1.12463,25,8.224199
0.196772,23,8.255442
-0.268031,28,8.286684
-0.076757,27,8.317927
-0.745911,25,8.34917
-0.240291,25,8.380413
0.027148,34,8.411656
-0.475694,27,8.442898
0.986284,20,8.474141
-3.187645,26,8.505383
-0.050721,26,8.540404
-0.980885,26,8.565426
-0.144555,28,8.59667
0.625606,21,8.627912
-0.898826,19,8.643533
0.335152,23,8.674775
-1.425938,22,8.690397
-1.891179,23,8.72164
0.41533,25,8.752882
1.801131,26,8.784125
-0.168149,23,8.815368
0.507693,25,8.84661
-0.199142,25,8.862231
-2.099245,25,8.893474
-1.789589,22,8.924717
-1.394472,26,8.955959
-1.435731,23,8.987202
-0.87654,27,9.018444
-2.217616,22,9.034066
-0.321722,21,9.065308
1.285171,21,9.09655
-1.005068,21,9.112172
-1.784371,26,9.151615
-0.457484,20,9.161077
-1.953908,23,9.192321
-3.309439,20,9.223562
-2.573066,24,9.239184
0.643946,24,9.270427
-2.573884,25,9.301669
-0.665683,24,9.332912
1.303147,27,9.364155
-0.366499,24,9.395397
-3.060151,22,9.411019
0.851525,30,9.457882
0.05562,26,9.473504
-4.200621,26,9.504747
-3.734957,21,9.535989
-1.500389,24,9.567232
-0.663002,21,9.582853
-4.223505,24,9.614096
0.352202,22,9.645338
-0.782054,24,9.676581
-2.604956,24,9.692202
-2.076071,27,9.723445
-1.021312,21,9.761509
-1.582965,20,9.783499
1.111764,28,9.814742
-0.862799,26,9.845984
-1.799656,23,9.861605
-0.918449,23,9.892848
1.326328,24,9.92409
-2.069277,24,9.955333
-1.100528,23,9.970955
-2.188992,26,10.002197
-3.716142,29,10.049061
-0.102686,25,10.080304
-3.918533,25,10.111546
-2.513521,21,10.127167
0.311853,23,10.15841
-1.58133,22,10.189653
-0.133527,23,10.205274
0.138042,28,10.236517
1.345915,25,10.26776
-1.881387,20,10.299002
1.871602,22,10.314624
-0.206628,23,10.355366
-0.790574,26,10.386328
0.180441,28,10.406982
0.121442,23,10.438225
0.149169,23,10.469468
-0.666646,26,10.50071
0.419789,23,11.279314
-3.196711,27,11.310556
-2.996354,20,11.326178
0.60479,24,11.35742
-0.241888,24,11.388663
0.9491,24,11.419906
-2.082687,22,11.435527
-3.747378,31,11.482391
-0.271889,32,11.513634
-1.573054,27,11.544876
0.49036,27,11.585247
-1.759872,29,11.610328
-3.674151,25,11.64157
0.319631,23,11.672812
-3.97833,24,11.704054
-1.106314,28,11.735297
0.579841,24,11.750919
-1.437346,21,11.782161
-1.246086,24,11.813404
-0.940966,30,11.844646
-2.391124,22,11.875889
-2.33758,25,11.89151
0.079712,27,11.922753
-0.257612,25,11.953996
-4.000316,31,12.000859
-0.542281,25,12.032102
-3.003254,24,12.063345
-0.29533,25,12.094588
-0.783555,21,12.110209
-0.21512,22,12.141451
-2.797175,21,12.175212
-0.663847,25,12.20418
-0.832919,26,12.232881
-2.834691,28,12.264123
0.632037,25,12.295366
1.302127,26,12.326608
-0.967247,20,12.34223
0.064275,22,12.373473
1.397147,23,12.404715
-1.529599,21,12.420337
-3.05406,27,12.451578
-0.858375,19,12.482822
-1.414352,29,12.514065
-3.461097,28,12.545307
0.175324,31,12.57655
-2.780852,23,12.607792
0.304435,24,12.639035
-1.90062,21,12.670278
0.008704,26,12.70152
-1.513515,26,12.732763
1.85983,22,12.748384
-0.140306,24,12.789064
1.265637,22,12.816141
-1.788574,22,12.839805
-1.490712,23,12.855426
-2.854264,22,12.886668
-3.17497,21,12.917911
-2.916837,23,12.933532
-0.001428,24,13.006237
-1.776125,26,13.041984
-3.889517,21,13.068912
-3.081647,23,13.098832
-2.38783,22,13.127754
1.641874,21,13.155907
-1.78972,23,13.185965
-1.802793,21,13.211896
0.584817,26,13.24381
0.200805,22,13.271735
1.468745,26,13.305645
-3.402431,22,13.332967
-0.418197,25,13.362886
0.157275,23,13.390263
-0.390451,21,13.416337
-0.306372,21,13.447756
-2.996458,27,13.527798
-0.044769,24,13.559927
-0.221271,23,13.587926
-0.499852,28,13.616283
-0.090515,20,13.631905
0.433573,25,13.677588
0.089569,29,13.711629
-0.476316,20,13.736945
-2.127627,24,13.76886
1.048888,25,13.799777
0.14856,27,13.831692
-3.856007,34,13.864586
0.226549,23,13.898961
0.770318,21,13.925273
-0.128612,29,13.961177
0.439357,27,13.995086
-2.915184,25,14.026004
-0.291258,24,14.054926
1.202586,24,14.092825
-0.732381,24,14.123743
-0.712259,28,14.162638
-0.084197,25,14.19555
-0.344572,23,14.223475
0.120832,18,14.245922
0.583731,22,14.273563
-0.391595,24,14.303901
-1.290322,23,14.330829
0.521593,25,14.361614
-2.173927,21,14.387545
-0.062355,30,14.423448
-1.006006,26,14.448567
-0.095757,23,14.481899
-2.725237,22,14.50783
1.006816,23,14.535755
0.76141,27,14.568667
-0.363412,26,14.601585
1.390871,25,14.634492
0.212145,20,14.658427
-1.983003,25,14.688347
0.12206,24,14.71727
-2.745209,23,14.744197
0.752122,25,14.774117
0.464373,22,14.801046
0.625762,23,14.81627
0.581595,18,14.847513
-2.793976,22,14.863135
0.076027,23,14.894377
-2.215995,23,14.931851
-0.109647,25,14.963885
-4.079432,24,14.993805
0.040705,27,15.02572
-2.625258,23,15.053625
0.661588,27,15.086961
0.792886,24,15.114607
-0.110266,22,15.141948
0.549832,27,15.174572
-0.109857,24,15.203882
-0.941063,27,15.237008
0.860402,25,15.266307
-0.143329,23,15.283013
-0.639835,23,15.314256
0.145358,21,15.345499
0.236396,22,15.36112
-2.716032,23,15.392363
-0.46541,18,15.421295
0.918292,22,15.447927
-0.719494,27,15.466342
0.087586,24,15.497585
-0.595366,24,15.536954
-1.361317,23,15.564594
0.91755,28,15.598503
-2.874907,25,15.62942
0.173632,23,15.657626
-1.384788,21,15.683976
-0.075639,31,15.720587
-3.822026,25,15.748614
0.285001,22,15.764235
-0.143322,21,15.795478
1.638418,23,15.828189
-0.030123,26,15.859153
-0.604991,27,15.8778
-2.510473,27,15.909043
1.504819,19,15.940285
-0.891722,25,15.977569
-1.356358,18,15.999644
0.692322,27,16.030887
-0.845426,21,16.046509
-2.228509,24,16.077751
-0.928962,25,16.12429
-1.117387,25,16.156796
0.050858,21,16.181729
0.274635,21,16.206663
-3.622701,26,16.237962
-1.855958,23,16.265269
-0.01736,24,16.28089
-0.991645,21,17.062421
1.36558,24,17.089052
-0.454836,27,17.120295
-0.704271,31,17.151537
0.718079,23,17.185922
-2.26489,23,17.213847
-3.023293,23,17.231861
-0.229025,26,17.263104
-0.372045,24,17.294346
0.852275,25,17.325588
-2.21481,23,17.34121
0.451568,21,17.372453
-2.509337,23,17.403696
-1.407621,27,17.434938
0.547089,22,17.450559
0.655446,27,17.481802
-0.688765,23,17.513045
-0.011276,21,17.5479
-3.431749,25,17.577246
0.523979,23,17.604174
0.156643,23,17.632008
-2.190528,23,17.66093
-2.017336,27,17.682305
0.565898,22,17.713548
0.319582,22,17.729169
0.626343,21,17.760412
0.805961,21,17.791655
0.509862,25,17.822897
1.304606,27,17.85414
1.619344,21,17.869761
-2.029516,25,17.901003
-0.372275,26,17.932246
-2.3465,25,17.963489
-3.438638,19,17.979111
-1.483984,23,18.010353
-1.528735,26,18.041596
-0.299056,27,18.08846
-3.18327,20,18.104081
0.354785,20,18.135323
-0.169048,22,18.154618
-0.008504,24,18.191882
0.359429,18,18.212826
-3.852649,22,18.231848
0.565608,24,18.267539
0.180764,22,18.293699
-2.542632,28,18.31334
-0.432256,29,18.360204
0.09915,22,18.375825
1.102785,21,18.407068
-1.497648,26,18.438311
-0.470414,21,18.453932
-0.248819,30,18.500796
1.148218,26,18.532038
0.019743,25,18.560859
-3.184809,23,18.588892
0.78763,22,18.614822
0.665741,25,18.631847
-2.967356,22,18.663089
-0.941537,30,18.694332
-0.558223,26,18.725574
0.125306,21,18.756817
-2.078212,24,18.78806
-0.474104,24,18.803681
-1.508273,31,18.854003
-2.470306,23,18.880932
0.401158,25,18.909536
-1.955965,30,18.940778
1.478961,20,18.9564
-0.017861,25,18.987643
-0.080083,28,19.018885
-2.751663,27,19.050128
-0.765671,25,19.08137
1.635503,25,19.112613
-0.06803,24,19.143856
1.391128,26,19.175099
0.621986,20,19.203844
0.946803,20,19.216219
-1.232278,24,19.247462
0.135447,25,19.278705
1.071651,22,19.309947
0.359605,23,19.325569
-0.05339,29,19.356811
0.628984,20,19.388054
-2.752415,24,19.419296
0.336307,24,19.450946
-0.125839,31,19.487223
-1.64446,27,19.516839
-2.951453,27,19.550881
-0.060417,19,19.57382
-4.031742,20,19.597858
0.235567,24,19.616207
0.112483,23,19.64745
-1.3144,25,19.678692
0.502198,22,19.709935
0.654057,23,19.725556
-0.98972,25,19.756798
0.48093,22,19.788042
-2.929055,24,19.819284
-2.044756,25,19.850526
-0.005192,21,19.866148
0.293546,37,19.913012
-0.120612,21,19.944254
-3.197418,21,19.959876
0.681765,22,19.991118
-0.045623,25,20.022361
-3.265931,23,20.037982
-3.741915,24,20.077706
-0.77832,24,20.108948
-0.85488,22,20.140191
1.184577,30,20.171433
-0.196588,23,20.20482
-1.688856,27,20.231827
-0.164686,19,20.247449
-1.496071,24,20.341177
0.246892,24,20.356798
-1.409929,23,20.388041
-2.007063,22,20.419283
-1.501287,22,20.450526
0.607283,26,20.481769
0.101436,23,20.49739
-0.009595,25,20.538915
0.18967,23,20.564846
-0.196849,22,20.591166
1.86461,21,20.6162
-1.253327,25,20.631823
0.993381,27,20.677156
-2.303373,25,20.708074
-0.174385,22,20.726798
0.33526,24,20.75804
0.702381,23,20.789282
-1.761863,23,20.804904
-0.052272,20,20.836146
0.408225,24,20.867389
1.451527,29,20.898631
-0.126919,20,20.914253
1.389704,22,20.945496
1.640549,31,20.976738
0.388886,26,21.007981
-0.383197,26,21.039223
-3.297454,25,21.070466
0.556158,24,21.101709
-0.694,26,21.132951
-2.720314,22,21.148572
-0.264628,33,21.199823
0.3646,23,21.21619
1.391905,24,21.247433
0.187779,29,21.28957
-0.296989,23,21.310635
0.458842,28,21.341877
0.583917,25,21.37312
1.211144,27,21.404362
-1.254094,24,21.435605
0.02325,23,21.466847
0.09155,22,21.482469
0.23003,25,21.513711
0.725692,21,21.549849
0.008256,23,21.577184
0.398089,22,21.603114
0.003059,21,21.616191
0.064031,28,21.647434
-3.588372,18,21.678677
-0.502168,30,21.70992
0.700597,29,21.741162
-0.064262,21,21.772404
-0.296871,23,21.788025
-1.953061,23,21.819268
-0.970006,25,21.850511
0.225038,22,21.88425
-1.819533,23,21.910952
-0.398046,29,21.942195
-3.255831,23,22.709887
0.118855,23,22.74113
-0.25966,22,22.772372
-3.683348,22,22.787993
-0.739246,22,22.819236
0.584804,26,22.850479
-0.084389,23,22.881722
-2.28597,25,22.897342
-0.154696,27,22.928586
-2.32217,21,22.959828
-0.126758,25,22.991071
-1.982301,29,23.022313
-2.884576,24,23.053556
-1.477059,23,23.087958
-2.58329,22,23.112936
-2.797607,26,23.128964
-3.369605,23,23.160207
0.98562,25,23.201791
-2.849067,22,23.216169
1.415011,27,23.257403
-1.80846,26,23.288646
-0.638876,24,23.304267
0.582676,24,23.33551
-3.240484,26,23.366753
-2.304878,21,23.397995
-0.973736,23,23.429238
-1.457466,23,23.444859
-3.005599,30,23.491723
0.647067,20,23.507344
-3.429069,21,23.540842
0.604866,25,23.570183
0.927585,21,23.595115
0.063101,22,23.616163
0.008407,25,23.647406
1.712189,27,23.678649
-2.965302,23,23.707633
1.663811,23,23.727613
-0.933484,26,23.758856
1.035942,25,23.790098
1.590042,26,23.821341
-0.354147,23,23.852583
-2.163352,26,23.883826
-2.065816,22,23.899448
0.609788,23,23.930691
0.065115,21,23.961933
-0.454968,25,23.977554
-0.11286,28,24.024418
-0.718737,29,24.055661
1.452575,24,24.086903
0.854002,28,24.118146
-0.005763,23,24.149389
0.723611,25,24.189811
-1.954536,22,24.216158
1.048002,26,24.231779
-2.673456,27,24.278643
-1.004819,23,24.305534
0.971113,26,24.335454
1.080588,29,24.361079
1.246169,28,24.392322
-0.59231,21,24.423565
0.280898,25,24.454807
0.089909,21,24.470428
-0.826744,26,24.501671
0.80067,27,24.54383
0.753064,26,24.575162
-2.059609,22,24.601093
0.649859,26,24.616154
1.179932,23,24.647397
-2.275956,23,24.678639
-3.196841,26,24.709882
0.096601,26,24.741126
-3.306681,21,24.756746
0.807533,21,24.803611
-1.61292,23,24.834853
-0.08431,24,24.866096
0.611063,26,24.914433
-2.856859,32,24.963131
0.072042,21,24.994374
-2.244568,23,25.025616
-1.871585,22,25.056859
-3.315763,24,25.088101
0.009274,22,25.103722
1.362754,28,25.134965
0.108492,20,25.166207
1.290448,19,25.192789
-0.012008,23,25.216153
-2.422606,28,25.247396
0.807555,23,25.278638
-1.453464,19,25.309882
-0.398903,29,25.356745
-0.638163,21,25.387988
-0.418807,24,25.41923
-0.390589,22,25.450473
-1.968482,25,25.502189
0.956172,30,25.550116
0.353059,23,25.586805
0.216776,22,25.616153
-1.356354,24,25.647396
-0.041042,23,25.69426
1.152643,27,25.725502
-1.572019,28,25.772367
-0.768968,22,25.819231
0.370462,20,25.881716
1.571472,30,25.928579
-1.130437,22,25.959822
0.745977,24,25.991064
0.769289,25,26.022307
-0.866073,23,26.037928
0.719411,21,26.069171
0.344218,20,26.101561
-3.329509,28,26.138512
0.196234,24,26.167137
1.367816,24,26.200775
-1.444048,27,26.231755
0.861352,28,26.262997
-0.725826,27,26.294239
1.169526,23,26.325482
-0.220797,24,26.341104
-0.011145,20,26.372346
-0.16399,25,26.403589
0.721361,33,26.434831
0.58301,24,26.466074
-0.313989,20,26.497316
-0.484655,23,26.512938
-0.135427,23,26.551783
-0.17035,22,26.577714
-1.496273,23,26.605755
0.285736,28,26.631758
-2.547986,22,26.663001
-2.963708,28,26.694243
-2.803205,24,26.726068
1.339271,22,26.744037
-0.911554,21,26.775281
-2.674098,25,26.806523
-1.17518,28,26.837766
-2.182167,31,26.869009
0.144388,24,26.900251
-2.087169,27,26.931494
1.476609,23,26.962737
1.766576,26,26.993979
-1.511808,24,27.0096
1.116707,25,27.040843
0.059442,29,27.087707
-0.256695,28,27.118949
0.82453,20,27.134571
0.143255,28,27.165813
-2.882416,28,27.211715
-0.002634,25,27.231746
-0.475664,23,27.324489
-3.119636,25,27.354464
1.058588,33,27.392724
0.363735,25,27.408346
0.335134,25,27.439589
0.014495,23,27.470831
0.035848,23,27.502074
-0.452759,24,27.532825
-0.121255,22,27.558755
-0.856766,25,27.590082
1.80794,19,27.61302
-2.422832,24,27.631743
-1.413335,22,27.662986
0.633483,29,27.694228
0.639653,19,27.725471
-0.027074,21,27.741092
-0.220617,24,27.772335
-3.468873,25,27.803577
1.420813,24,27.83482
1.23711,24,27.866062
0.050862,26,28.662956
-2.392727,24,28.694199
-0.209297,29,28.725442
1.314993,24,28.756685
0.459743,24,28.787927
0.119568,26,28.819169
-0.273801,22,28.850412
-2.212451,23,28.881655
-1.247179,27,28.912898
-1.224914,21,28.928519
-0.262781,25,28.961694
-2.197261,32,29.008558
-0.447339,23,29.039801
-1.754675,25,29.055422
-1.217893,19,29.093696
0.32858,25,29.122863
-0.107102,30,29.143832
-0.307948,26,29.189706
-0.05801,24,29.216101
-0.202596,28,29.247344
-0.152357,26,29.278586
-0.606357,21,29.294208
-0.531227,30,29.341072
0.285725,25,29.372314
-1.979716,25,29.387936
0.31224,23,29.419178
0.401203,25,29.450421
-2.23897,21,29.481663
0.092744,24,29.497285
0.402982,22,29.537787
-0.056827,22,29.562721
-0.524136,20,29.58807
0.605153,27,29.616098
1.218659,18,29.63172
0.539592,27,29.662963
-1.956802,23,29.694205
0.305482,25,29.728996
0.899595,22,29.74365
-0.509493,22,29.774894
-2.295642,26,29.806137
-3.195441,27,29.837379
0.587051,25,29.868621
0.557325,24,29.899863
-2.617581,22,29.915486
-3.692972,27,29.946728
-1.264099,28,29.993592
1.352681,21,30.009213
-0.977463,24,30.040456
-2.748434,32,30.071698
-1.944528,23,30.102941
0.329473,23,30.134183
0.384455,26,30.165426
0.01213,19,30.200722
-0.403523,29,30.231708
1.197585,25,30.262951
-1.739063,21,30.278572
-1.162174,24,30.309814
-3.756973,25,30.348312
-2.370512,20,30.360298
0.98466,22,30.391541
-0.896622,24,30.422784
-0.483761,28,30.454027
0.154784,21,30.469647
0.294544,22,30.50089
0.234588,26,30.540766
-0.025604,29,30.576077
-0.163012,22,30.603006
-0.208146,28,30.631706
-0.333482,23,30.662948
-0.013445,23,30.67857
1.108083,20,30.709812
-1.703746,22,30.741054
-1.45185,27,30.772297
1.016706,22,30.787919
0.513488,25,30.819162
0.660293,30,30.850403
-0.168351,27,30.881647
0.992911,24,30.912889
0.66809,27,30.955569
-3.402332,29,30.976202
-0.864599,21,31.007445
-3.394839,27,31.038687
-0.420087,26,31.06993
0.651161,24,31.101173
0.591128,22,31.116794
1.245905,23,31.148037
-0.592054,26,31.190721
-0.190942,23,31.216074
-1.52463,22,31.231695
0.069826,30,31.278559
0.722227,22,31.294181
-1.67813,21,31.325423
0.179516,22,31.341044
-1.546583,27,31.372287
0.313747,24,31.40353
-0.257412,25,31.434772
1.142041,24,31.466014
0.038301,23,31.497257
0.978332,24,31.512879
-2.623582,24,31.555719
0.28059,21,31.58165
-2.161822,23,31.608685
-0.184215,23,31.63169
0.448783,20,31.647311
-3.325423,21,31.678554
0.659534,27,31.709796
0.808782,23,31.741039
0.035961,24,31.772282
0.056053,30,31.803525
0.522408,20,31.819146
-0.228911,23,31.850388
1.055921,23,31.881631
-1.766312,25,31.912874
-2.825624,30,31.944116
-3.47314,24,31.975359
1.208206,25,32.006601
1.09486,24,32.022223
-1.796352,26,32.053465
-1.421502,27,32.084707
0.166566,27,32.131572
-0.727278,26,32.167454
0.306679,24,32.198445
-0.407817,19,32.216061
-1.016638,26,32.247304
0.884641,29,32.278547
1.073928,25,32.309789
0.700694,23,32.341032
0.714227,26,32.372275
1.278321,28,32.403517
-0.023215,25,32.43476
-0.108305,23,32.450382
0.623146,20,32.481623
-0.104881,26,32.512866
-2.626727,28,32.552709
-3.259716,28,32.586048
0.5225,23,32.613973
0.617354,36,32.647306
0.85246,19,32.678549
0.633062,25,32.69417
0.630883,25,32.725413
-3.234851,24,32.765779
-1.457369,30,32.80172
-0.507096,25,32.823353
-0.669833,25,32.854596
-3.400748,25,32.885838
0.121934,23,32.917081
-0.598485,30,32.948324
-0.7245,26,32.979566
0.225564,20,32.995188
-0.135074,22,33.02643
-1.98597,34,33.057673
-1.889664,26,33.088915
-1.068705,22,33.120157
-1.05748,28,33.1514
0.637646,20,33.185729
-0.134953,28,33.216053
-1.216706,26,33.247295
-0.724661,28,33.278538
-0.124721,28,33.309781
