#{"t_start": 1640326699.9549694, "env_id": null}
r,l,t
0.678269,23,0.031243
-1.112534,20,0.062486
-0.363549,26,0.093729
-2.418292,25,0.124971
-0.482767,21,0.140592
0.262834,23,0.171835
0.855779,22,0.203077
-2.920084,19,0.218699
-2.45873,24,0.249941
-0.745464,27,0.281184
1.0449,22,0.312426
-1.310709,22,0.328048
1.056913,23,0.359292
-1.36885,30,0.390533
1.240216,24,0.421776
-0.252292,23,0.453018
0.722068,24,0.484261
0.777241,24,0.515504
0.887881,22,0.531125
-3.888009,27,0.575803
-1.64429,22,0.601835
0.475359,28,0.622497
0.097334,25,0.65374
-3.677237,23,0.684982
-3.963683,27,0.716225
-0.08474,23,0.747468
-0.35668,25,0.77871
1.126793,23,0.794332
-0.058509,20,0.825574
-0.596045,20,0.841195
-2.540559,23,0.872438
-3.631211,25,0.903681
-2.372473,21,0.934923
0.025733,21,0.950545
0.503101,20,0.981787
-2.968487,22,0.997409
-0.214358,20,1.028651
-0.653585,20,1.044272
-0.083662,20,1.075516
-0.430125,21,1.091136
0.216607,22,1.122379
-0.667838,23,1.153621
-3.988792,25,1.186996
1.019234,32,1.213842
-2.354197,26,1.245084
-0.934855,23,1.276327
-0.490154,23,1.307569
1.329632,26,1.32319
-2.164978,25,1.354433
-0.79402,20,1.385676
-1.005801,23,1.401297
-4.070415,21,1.43254
-2.95421,21,1.463782
-0.172671,22,1.479404
-1.185701,22,1.510647
0.142735,24,1.541889
-2.641123,27,1.573132
-2.863158,23,1.588753
-2.785591,24,1.619996
-0.960365,26,1.651238
-0.556087,19,1.666859
-1.744534,30,1.713723
-1.559055,24,1.744966
0.436975,21,1.760587
-0.929626,21,1.793624
-0.174224,20,1.816598
-3.293332,25,1.836263
1.39158,28,1.867505
0.4453,26,1.898748
-2.335275,24,1.929991
-0.479249,22,1.961234
-2.082736,19,1.976855
-0.959992,25,2.008097
-1.207229,29,2.03934
-3.38495,25,2.070583
-0.156697,22,2.101825
-0.610683,26,2.133068
-1.255886,34,2.16431
0.860503,23,2.195553
-3.584842,25,2.226795
-1.430751,22,2.258038
1.486087,29,2.289281
-0.105857,24,2.320523
0.182915,20,2.336145
-3.303106,30,2.367388
-0.264217,23,2.406781
-4.265406,24,2.429456
-4.114853,25,2.4607
-3.478096,25,2.491941
-2.471371,27,2.523184
1.501896,20,2.538805
-2.848357,23,2.570048
1.499128,26,2.601291
0.166754,28,2.632533
-1.155826,29,2.663776
0.071031,23,2.695018
-3.98382,22,2.710639
-0.118183,18,2.741883
-0.416488,22,2.757504
-2.062263,23,2.788746
0.462687,27,2.819989
-2.695659,23,2.851231
0.202551,22,2.882474
-1.237756,23,2.898095
-1.285194,22,2.929338
