#{"t_start": 1640326699.8908932, "env_id": null}
r,l,t
-2.196587,24,0.095319
0.428963,30,0.126562
-1.608433,28,0.173426
-0.872165,20,0.189047
-1.945524,23,0.22029
-3.578057,22,0.251532
-0.275017,24,0.267154
-2.285243,23,0.298396
-2.969585,28,0.329639
1.304178,21,0.360882
-1.086217,21,0.392124
-3.680016,25,0.423368
-3.881858,23,0.438988
0.110181,26,0.470231
0.296552,24,0.501474
-0.695234,21,0.532716
-3.527551,22,0.548337
-0.771499,22,0.57958
-2.272224,26,0.610822
-2.160341,23,0.645964
-1.293846,27,0.670952
-1.202546,23,0.702194
1.541839,22,0.717816
-1.181572,25,0.749058
-2.486908,25,0.780301
-2.097283,25,0.811544
-0.706759,23,0.842786
-2.050817,23,0.858408
1.333709,23,0.889651
-0.920636,26,0.920893
-1.784022,24,0.952136
-0.183626,24,0.983378
0.08743,28,1.014621
0.0292,21,1.030242
0.509417,26,1.061485
1.051357,24,1.092727
-1.344161,26,1.123969
0.824333,24,1.155212
-1.404728,22,1.186455
-1.551702,20,1.202076
-1.705993,28,1.245089
-0.837228,21,1.262296
-0.50639,23,1.293539
-0.955763,20,1.30916
0.763092,21,1.340403
-2.799218,24,1.371645
1.131715,21,1.387267
-1.075261,19,1.402888
-1.989231,24,1.434131
-1.435981,24,1.465373
-2.482172,28,1.496616
-3.800444,20,1.527858
-0.979865,22,1.54348
-1.80157,24,1.574723
-1.410235,30,1.605965
-0.053161,23,1.637208
1.236379,23,1.66845
0.200788,25,1.699693
-0.694547,20,1.715315
-2.0381,24,1.746557
-0.6322,27,1.7778
-0.759498,28,1.809042
-3.060183,26,1.844735
-2.244516,21,1.869704
-2.514773,20,1.884717
0.042146,28,1.915961
-1.189503,25,1.947203
0.321563,26,1.978446
-1.124843,20,1.994067
0.70487,27,2.040931
-2.072555,21,2.056553
1.225058,23,2.087795
-0.63752,24,2.119038
-4.801651,25,2.15028
-1.144095,26,2.181523
-3.624887,23,2.197144
1.877134,30,2.244008
-1.678665,24,2.259629
-0.004044,21,2.290872
-0.232549,20,2.306493
0.05379,22,2.337736
-1.951013,26,2.368979
-2.000072,19,2.384599
-2.150598,22,2.415842
1.236326,25,2.453902
-3.571553,20,2.477911
0.492203,22,2.493532
-1.541969,21,2.524776
0.009898,26,2.556017
-0.128055,23,2.571639
-3.435423,24,2.602882
-2.058111,28,2.634124
-1.337679,31,2.680988
-2.677445,20,2.696609
-2.419639,22,2.727852
0.02475,29,2.759094
-2.334635,32,2.790337
-3.024233,27,2.82158
-3.80735,19,2.852823
0.182292,18,2.868443
0.489299,27,2.899687
-1.202864,22,2.930929
0.163997,22,2.94655
0.50574,24,2.977793
-1.612953,27,3.009036
-4.03262,22,3.040278
-2.61179,24,3.073321
1.65533,22,3.098254
-2.303788,23,3.115921
-2.075836,20,3.147164
0.729745,21,3.162785
-3.49573,22,3.194028
-3.643639,22,3.209649
-1.477008,22,3.240892
-2.047858,21,3.272134
1.070693,22,3.287755
-3.14319,24,3.318998
-1.697679,28,3.350241
-1.196851,22,3.381483
0.40096,23,3.397105
-2.266747,20,3.428348
0.53882,23,3.45959
-0.513155,24,3.475211
-0.589558,27,3.506454
-2.630538,23,3.537697
0.405104,19,3.568939
-1.686154,24,3.58456
-0.970113,23,3.615803
-1.153461,32,3.663146
0.408465,27,3.69506
-2.608822,27,3.7231
0.711128,24,3.738721
-0.083636,23,3.769964
1.702591,19,3.801207
-2.002571,23,3.816828
0.345378,25,3.848071
-4.253867,23,3.879313
-3.197323,29,3.910556
-0.300189,20,3.926178
-0.205862,23,3.95742
-3.727254,22,3.988662
-1.767662,27,4.019905
-2.516445,24,4.051147
-0.718489,27,4.08239
-0.557341,21,4.113633
-4.297142,24,4.144876
0.377594,24,4.160497
-0.147636,23,4.19174
0.586302,28,4.222982
1.058847,21,4.254225
-0.172372,24,4.286255
0.49148,23,4.314579
1.13942,23,4.330272
-2.305245,27,4.361514
1.005508,23,4.392756
-0.836431,23,4.423999
0.11999,25,4.455242
-0.101035,23,4.470864
1.29587,32,4.517727
-2.463196,22,4.548971
1.191098,26,4.564591
0.123127,20,4.595834
0.269477,25,4.627076
1.670462,22,4.642697
1.155541,31,4.689562
-0.826489,23,4.720804
-1.522716,24,4.736425
-1.777898,21,4.767668
-1.843935,30,4.79891
-0.416309,25,4.830153
-3.554072,21,4.861396
0.614302,33,5.638678
-2.750487,22,5.669921
-2.036329,26,5.701164
0.432102,26,5.732406
-0.229921,22,5.748027
-1.620845,22,5.77927
-0.038495,21,5.794891
-0.3163,28,5.826134
-1.082971,27,5.857376
-3.047477,23,5.888619
0.339855,21,5.919861
-2.658613,23,5.935483
1.397644,27,5.966725
0.497022,32,6.01359
-3.893119,31,6.060454
-0.129026,23,6.076075
-0.918971,22,6.113245
-2.611317,19,6.135186
-2.634723,26,6.15192
-1.759294,24,6.183162
-3.718416,24,6.214406
1.041105,26,6.245648
-0.952229,27,6.276891
0.140559,38,6.323755
-2.694062,27,6.354997
-0.07555,30,6.38624
-2.070772,23,6.417482
-2.066187,29,6.448725
1.280963,24,6.479967
1.190467,23,6.495589
-3.14321,27,6.526832
0.725264,29,6.573696
0.716283,25,6.604938
-1.367235,19,6.620559
-1.736858,30,6.651802
-1.456854,27,6.683044
1.138472,26,6.776264
0.021374,23,6.807507
-2.448538,20,6.823128
1.413826,21,6.85437
-2.682449,20,6.869992
-2.184569,23,6.901234
0.523115,27,6.932477
1.663327,23,6.96372
-0.988787,25,6.994963
0.410637,24,7.010583
0.25785,26,7.041826
0.319789,23,7.073069
-2.589482,23,7.104312
-1.15851,22,7.135554
-0.378343,23,7.151175
0.319885,28,7.182418
-0.319254,32,7.229283
-1.283375,26,7.260525
-2.704332,25,7.291767
0.810894,20,7.316822
-1.658652,21,7.340797
-0.000512,22,7.367439
-3.952772,22,7.38306
1.204076,25,7.414302
0.650242,23,7.445545
-0.504886,24,7.476787
-3.536829,26,7.492409
1.007139,26,7.523652
-2.499229,25,7.554894
-1.132854,23,7.586138
-1.426069,22,7.617379
0.052186,26,7.648622
-0.850768,29,7.679864
-0.153964,25,7.711107
0.37563,28,7.74235
0.084305,27,7.773667
-0.105425,18,7.789214
-0.97648,18,7.820456
-0.664941,24,7.851699
0.435248,23,7.867321
-0.543301,27,7.898563
-1.006117,26,7.942572
1.185782,22,7.958637
0.717105,20,7.98988
-3.332543,24,8.005501
0.2833,19,8.036744
-2.872589,23,8.067986
-1.988509,22,8.09923
0.639187,23,8.11485
0.711847,22,8.146093
-3.353786,28,8.177336
-1.163701,23,8.208578
-2.424275,27,8.239821
-0.277817,23,8.271064
-2.236022,23,8.286684
-4.18106,21,8.317927
0.083684,26,8.34917
0.50603,23,8.364791
-2.519661,28,8.396034
0.777848,24,8.427276
-0.556512,25,8.45852
-2.82234,21,8.489762
-0.286116,29,8.527439
-1.753304,23,8.554401
-0.466238,23,8.565426
-0.122285,21,8.59667
-1.367576,25,8.627912
-0.244856,22,8.659154
-0.373098,28,8.690397
0.009325,25,8.72164
-1.37379,23,8.737261
-0.391306,26,8.768504
-1.011448,27,8.799747
-4.459633,24,8.830989
0.417107,20,8.862231
-1.361763,23,8.877852
-2.974717,22,8.909096
0.500816,26,8.940338
-1.553159,29,8.971581
-1.987569,30,9.002824
-2.892692,24,9.034066
-0.300701,22,9.065308
-2.954861,27,9.09655
-0.293935,27,9.133663
-0.26158,26,9.161077
-0.040615,29,9.192321
-2.645178,26,9.223562
-1.225889,23,9.254806
0.117546,23,9.270427
-2.949132,27,9.301669
-2.388633,27,9.332912
-0.814881,29,9.364155
-0.177963,25,9.395397
1.735256,23,9.42664
1.262155,29,9.457882
-0.111317,23,9.489125
-1.020181,26,9.520368
-0.3172,27,9.55161
-1.758221,23,9.582853
-3.397045,24,9.598475
1.228228,23,9.629717
-2.698894,20,9.66096
0.703637,20,9.676581
-0.63136,26,9.707824
-2.817777,22,9.742521
-0.992301,22,9.767493
-0.413963,23,9.783499
-1.451188,27,9.814742
-1.04703,26,9.845984
-2.267086,25,9.877227
0.218855,23,9.908469
-2.428932,24,9.939712
-0.222378,22,9.955333
-1.2441,24,9.986575
0.287793,29,10.017818
0.930469,25,10.049061
0.94479,27,10.095925
1.104453,24,10.111546
-0.013134,20,10.142789
1.260922,19,10.15841
-1.598019,24,10.189653
-1.313515,28,10.220895
-3.892391,21,10.252138
-2.064669,23,10.26776
-2.275972,25,10.299002
0.053062,20,10.330244
0.83631,27,10.365339
0.648031,28,10.391361
-0.043186,30,10.422603
-0.990485,22,10.453846
-1.182595,25,10.485089
-1.320516,23,11.263693
-0.29782,27,11.294935
-1.711223,25,11.326178
-0.346133,25,11.35742
0.120099,19,11.373042
1.479346,18,11.388663
-1.720131,27,11.419906
-2.705603,25,11.451148
-1.254638,30,11.482391
0.644041,23,11.513634
-0.286092,25,11.544876
0.450443,26,11.584249
1.248469,22,11.610328
-1.384021,22,11.625948
-2.497057,24,11.65719
-2.977828,27,11.688433
-0.009221,28,11.719676
-2.449843,20,11.750919
0.408287,24,11.76654
-2.314997,35,11.813404
-0.3212,25,11.844646
1.944665,22,11.860268
0.626451,26,11.89151
-3.41381,20,11.922753
0.378057,21,11.938374
-2.937128,31,11.985238
-1.698746,27,12.016481
-0.146196,25,12.047724
0.863889,23,12.078966
-2.504468,28,12.110209
-2.736014,24,12.141451
-1.383189,26,12.179201
-0.287347,25,12.208169
-4.416577,21,12.232881
-2.52081,26,12.264123
-0.197953,25,12.279745
0.716506,25,12.310987
-0.249148,25,12.34223
-1.947686,23,12.373473
