#{"t_start": 1640326699.8908932, "env_id": null}
r,l,t
0.826724,22,0.095319
-0.511471,22,0.126562
-0.961148,17,0.142183
-1.058468,23,0.173426
-1.81908,25,0.204668
0.551902,27,0.235911
-0.123322,20,0.251532
1.23303,29,0.298396
-2.172426,21,0.314018
-1.856985,27,0.345261
-3.093326,23,0.376503
-0.614028,21,0.407745
-2.22226,21,0.423368
-0.200753,21,0.454609
-2.69083,21,0.470231
-0.349469,26,0.501474
-0.756444,23,0.532716
-0.190162,25,0.563959
-0.378858,24,0.595201
-2.804746,25,0.630903
-0.816378,19,0.652945
-3.041261,28,0.670952
-1.00082,21,0.702194
-3.424823,28,0.733437
0.399673,24,0.76468
1.160278,22,0.795922
-1.430627,24,0.811544
-2.733304,25,0.842786
-2.179612,26,0.874029
-3.008812,21,0.905271
0.515629,23,0.936514
-0.136972,21,0.952136
-1.930942,22,0.983378
0.468014,22,1.014621
-3.654238,22,1.030242
-1.96608,24,1.061485
-1.278986,25,1.092727
0.515149,23,1.123969
-0.516856,23,1.139592
0.186055,26,1.170834
-2.272182,27,1.202076
0.0562,24,1.243094
0.691677,25,1.262296
0.471231,20,1.293539
-0.309395,22,1.30916
-2.513032,25,1.340403
0.677112,25,1.371645
-0.854291,26,1.402888
1.303477,23,1.434131
-1.414368,20,1.449752
1.044772,25,1.480995
-2.068413,28,1.512239
-4.139861,20,1.54348
0.213022,23,1.559101
-4.646521,21,1.590344
-1.700933,23,1.621586
0.613373,21,1.637208
0.419749,28,1.66845
0.337764,23,1.699693
0.478662,25,1.730936
-1.672856,22,1.746557
-0.509222,21,1.7778
-1.297137,26,1.809042
0.862905,28,1.845733
0.297936,25,1.87469
-0.203891,19,1.884717
-0.089106,24,1.915961
-1.802844,24,1.947203
1.330301,28,1.978446
-1.673446,27,2.009688
-2.977444,25,2.040931
-1.229047,28,2.072173
-2.519014,24,2.103416
0.302177,25,2.134659
-3.053716,19,2.15028
-1.537576,24,2.181523
-2.813558,20,2.212765
-2.490611,22,2.228386
-1.195308,21,2.259629
1.402299,23,2.290872
-0.030776,25,2.306493
-0.457937,26,2.337736
0.070652,26,2.368979
-0.873605,20,2.400221
-0.76801,23,2.431464
-0.706986,22,2.457892
-1.228345,24,2.477911
1.321442,23,2.509154
-1.813255,31,2.540396
-1.52261,24,2.571639
-0.684977,24,2.602882
-1.194668,23,2.618502
-1.127089,25,2.649745
-1.026762,23,2.680988
-0.626109,20,2.696609
-1.521273,30,2.743473
0.677977,19,2.759094
-0.266917,25,2.790337
-3.431964,28,2.82158
0.038709,26,2.852823
-1.051181,24,2.884065
-0.136722,28,2.915308
-0.065804,23,2.94655
0.33363,24,2.962171
-1.747765,25,2.993414
-0.224653,32,3.040278
0.870746,31,3.078308
-1.242885,23,3.100299
-1.79601,20,3.115921
0.970087,27,3.147164
0.332383,23,3.178406
0.227292,28,3.209649
0.431425,22,3.240892
-0.373841,20,3.256513
0.191981,22,3.287755
-2.670014,28,3.318998
0.255423,23,3.350241
0.094131,23,3.365862
-1.435699,20,3.397105
-2.483882,25,3.428348
0.130575,32,3.45959
-0.696265,32,3.506454
1.436356,19,3.522075
-1.325999,25,3.553318
-2.138543,22,3.58456
-0.326017,21,3.600182
-1.970487,24,3.631425
